,Event time,min_a_price,max_b_price,a_quantity,b_quantity,volume_imbalance,mid_price,micro_price,Kline start time,Kline close time,Interval,Open price,Close price,High price,Low price,Base asset volume,Number of trades,Quote asset volume,Taker buy base asset volume,Taker buy quote asset volume
38,2024-05-19 22:44:40.999,66724.01,66724.0,9.32033,1.05021,-0.7974628129297028,66724.005,66724.00101268594,,,,,,,,,,,,
39,2024-05-19 22:44:41.999,66724.01,66724.0,9.33515,1.05633,-0.7966930600838378,66724.005,66724.00101653469,,,,,,,,,,,,
40,2024-05-19 22:44:42.999,66724.01,66722.41,9.33632,0.0001,-0.9999785785129632,66723.20999999999,66722.41001713721,,,,,,,,,,,,
41,2024-05-19 22:44:43.999,66724.01,66724.0,9.34859,0.84987,-0.8333336601800665,66724.005,66724.00083333171,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66724.0,66729.99,66719.8,4.28857,215.0,286152.3498231,2.59445,173106.6874061
42,2024-05-19 22:44:44.999,66724.01,66724.0,9.36051,1.06523,-0.7956538336847073,66724.005,66724.00102173083,,,,,,,,,,,,
43,2024-05-19 22:44:45.999,66744.2,66724.0,0.4496,1.06771,0.40737225748199113,66734.1,66738.21445980057,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66724.0,66729.99,66719.8,4.28914,218.0,286190.3825048,2.59462,173118.0304878
44,2024-05-19 22:44:46.999,66724.01,66724.0,9.36274,0.96696,-0.8127806228641683,66724.005,66724.00093609688,,,,,,,,,,,,
45,2024-05-19 22:44:47.999,66724.01,66724.0,9.39565,0.86248,-0.8318445954574567,66724.005,66724.00084077702,,,,,,,,,,,,
46,2024-05-19 22:44:48.999,66724.01,66724.0,9.4142,0.76248,-0.8501515228935174,66724.005,66724.00074924239,,,,,,,,,,,,
47,2024-05-19 22:44:50.000,66724.01,66724.0,9.68803,0.53696,-0.8949710464264512,66724.005,66724.00052514477,,,,,,,,,,,,
